,X,Label,Area,Major,Minor,ratio,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,id,side,batch,cam.id,species,sex
201,1,CAM046001_d.JPG,79.921,15.57,6.536,2.382190942,168.124,0.485,17.131,1343,929,163.944,7.063,2.382,0.42,0.919,1413,900,CAM046001,left,input4,CAM046001,arm,female
66,110,CAM046003_d.JPG,79.153,14.932,6.75,2.212148148,17.737,0.518,16.106,265,1022,24.168,7.471,2.212,0.452,0.962,856,694,CAM046003,right,input1,CAM046003,arm,
144,13,CAM046004_d.JPG,86.692,16.044,6.88,2.331976744,170.192,0.547,17.235,1251,1027,168.306,7.481,2.332,0.429,0.971,1317,949,CAM046004,left,input2,CAM046004,arm,
149,18,CAM046006_d.JPG,78.863,15.55,6.457,2.40823912,173.29,0.486,17.158,1196,890,167.432,7.124,2.408,0.415,0.934,1263,851,CAM046006,left,input2,CAM046006,arm,male
87,150,CAM046012_d.JPG,80.225,15.767,6.479,2.433554561,178.325,0.513,17.003,335,957,2.502,7.374,2.434,0.411,0.952,925,851,CAM046012,right,input1,CAM046012,arm,male
182,55,CAM046013_d.JPG,83.043,15.171,6.97,2.17661406,9.287,0.521,16.899,1288,1306,14.593,7.565,2.177,0.459,0.959,1461,973,CAM046013,left,input2,CAM046013,arm,
178,51,CAM046014_d.JPG,81.116,15.066,6.855,2.197811816,12.97,0.573,15.957,1258,1311,19.005,7.481,2.198,0.455,0.956,1438,969,CAM046014,left,input2,CAM046014,arm,
188,65,CAM046015_d.JPG,78.256,16.598,6.003,2.764950858,175.377,0.401,17.334,1302,893,169.256,7.341,2.765,0.362,0.833,1407,863,CAM046015,left,input2,CAM046015,arm,female
151,20,CAM046018_d.JPG,89.277,17.449,6.514,2.678692048,16.689,0.482,18.568,1049,1141,20.8,7.446,2.678,0.373,0.926,1710,786,CAM046018,left,input2,CAM046018,arm,
145,14,CAM046020_d.JPG,75.187,14.671,6.525,2.248429119,176.073,0.547,16.196,1128,866,171.706,7.207,2.249,0.445,0.954,1192,820,CAM046020,left,input2,CAM046020,arm,
79,134,CAM046021_d.JPG,80.3,15.38,6.647,2.313825786,6.654,0.51,16.674,414,1169,11.251,7.34,2.314,0.432,0.941,1047,976,CAM046021,right,input1,CAM046021,arm,male
70,116,CAM046023_d.JPG,85.376,15.988,6.799,2.351522283,7.017,0.553,17.16,323,980,10.409,7.607,2.352,0.425,0.965,976,782,CAM046023,right,input1,CAM046023,arm,female
